t_s,dist_m,epoch_iso,lon,lat,sv,constellation,az,el,range_m,status,block_kind
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,G16,GPS,186.71859066323825,12.179598709579723,24812973.25,NLOS,building
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,G23,GPS,45.41956527170487,17.830979987674965,23932908.789,NLOS,building
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,G27,GPS,145.53822298999785,60.106174983785614,20889571.446,LOS,
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,G32,GPS,120.56599364568228,29.407070803743693,22991077.506,LOS,
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,E13,Galileo,235.60588625560047,12.679841761683118,27524505.427,NLOS,building
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,E15,Galileo,242.6700714548802,65.5180331675296,23678372.055,VEG,vegetation
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,E21,Galileo,318.586018209826,12.317063516587744,27595133.684,NLOS,building
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,E27,Galileo,288.16472916015005,59.793381640499256,23927775.786,LOS,
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,E30,Galileo,175.40495955911922,54.22191720836673,24190420.718,LOS,
79,658.333,2026-05-09T10:01:19+00:00,11.329217161703241,44.492298515018526,E34,Galileo,48.05714631123834,57.61167345990029,24026438.649,NLOS,building
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,G01,GPS,271.1042262475961,25.161424410252728,23174357.64,NLOS,building
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,G02,GPS,290.87216158613614,52.76184180763251,21340326.024,LOS,
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,G08,GPS,269.39628102548306,77.95988237067506,20298037.318,LOS,
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,G10,GPS,53.70378030009448,53.21766357546953,21453807.064,NLOS,building
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,G16,GPS,186.71677995967718,12.172862898951845,24813695.484,NLOS,building
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,G23,GPS,45.419962315630414,17.824361512247883,23933532.204,NLOS,building
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,G27,GPS,145.54210350706728,60.09798961838459,20889983.327,LOS,
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,G32,GPS,120.55970187655225,29.41254242562017,22990643.195,LOS,
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,E13,Galileo,235.6099899802198,12.68468553658472,27524006.965,NLOS,building
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,E15,Galileo,242.68000635060497,65.5234491882172,23678174.173,LOS,
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,E21,Galileo,318.58565512620595,12.322197518929457,27594601.654,NLOS,building
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,E27,Galileo,288.15417667052054,59.796631194411816,23927626.735,LOS,
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,E30,Galileo,175.4051707170845,54.21490554886905,24190795.515,VEG,vegetation
80,666.667,2026-05-09T10:01:20+00:00,11.329195201619768,44.492371794537505,E34,Galileo,48.05803030912239,57.60580316430288,24026725.062,NLOS,building
81,675.0,2026-05-09T10:01:21+00:00,11.329174220603704,44.49244522822608,G01,GPS,271.1093725964148,25.16724966015375,23173837.02,NLOS,building
81,675.0,2026-05-09T10:01:21+00:00,11.329174220603704,44.49244522822608,G02,GPS,290.8795861980333,52.76792899055821,21340058.959,LOS,
81,675.0,2026-05-09T10:01:21+00:00,11.329174220603704,44.49244522822608,G08,GPS,269.361729863567,77.96370305022205,20298012.599,VEG,vegetation
81,675.0,2026-05-09T10:01:21+00:00,11.329174220603704,44.49244522822608,G10,GPS,53.699033031782506,53.210895187044315,21454153.435,NLOS,building
81,675.0,2026-05-09T10:01:21+00:00,11.329174220603704,44.49244522822608,G16,GPS,186.71497014037791,12.166127209672434,24814417.738,NLOS,building
81,675.0,2026-05-09T10:01:21+00:00,11.329174220603704,44.49244522822608,G23,GPS,45.42036071670856,17.81774381584423,23934155.585,NLOS,building
81,675.0,2026-05-09T10:01:21+00:00,11.329174220603704,44.49244522822608,G27,GPS,145.54598532941827,60.08980467491002,20890395.286,LOS,
81,675.0,2026-05-09T10:01:21+00:00,11.329174220603704,44.49244522822608,G32,GPS,120.55341019669146,29.418014176194358,22990208.906,LOS,
